code,trade_date,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down,is_paused,pre_close,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,ret_1d,rsi14,ema12,ema26,macd_dif,macd_dea,macd_hist,boll_mid,boll_std,boll_upper,boll_lower,boll_percent_b,boll_bandwidth,kdj_rsv9,kdj_k,kdj_d,kdj_j
002747.SZ,20250102,18.28,19.0,17.8,18.11,35976968.0,657554639.63,1.0,,,False,18.11,18.28,19.0,17.8,18.11,18.11,,,,,,,,,,,,,,,,,
002747.SZ,20250103,18.0,18.14,16.68,16.75,38575262.0,666567393.26,1.0,,,False,18.11,18.0,18.14,16.68,16.75,18.11,-0.07509663169519598,,,,,,,,,,,,,,,,
002747.SZ,20250106,16.76,17.08,16.42,16.62,20690404.0,345104663.7,1.0,,,False,16.75,16.76,17.08,16.42,16.62,16.75,-0.007761194029850649,,,,,,,,,,,,,,,,
002747.SZ,20250107,16.69,17.05,16.6,17.03,19394477.0,326306242.52,1.0,,,False,16.62,16.69,17.05,16.6,17.03,16.62,0.02466907340553548,,,,,,,,,,,,,,,,
002747.SZ,20250108,17.03,17.72,16.29,17.43,37567671.0,640327749.54,1.0,,,False,17.03,17.03,17.72,16.29,17.43,17.03,0.0234879624192601,,,,,,,,,,,,,,,,
002747.SZ,20250109,17.16,17.85,17.16,17.66,33706560.0,592461532.1,1.0,,,False,17.43,17.16,17.85,17.16,17.66,17.43,0.01319563970166393,,,,,,,,,,,,,,,,
002747.SZ,20250110,17.58,18.41,17.46,17.6,41240846.0,742910489.8,1.0,,,False,17.66,17.58,18.41,17.46,17.6,17.66,-0.003397508493771184,,,,,,,,,,,,,,,,
002747.SZ,20250113,17.27,19.36,17.15,18.78,76637916.0,1438499499.09,1.0,,,False,17.6,17.27,19.36,17.15,18.78,17.6,0.06704545454545463,,,,,,,,,,,,,,,,
002747.SZ,20250114,18.52,19.79,18.52,19.79,74234552.0,1431449946.98,1.0,,,False,18.78,18.52,19.79,18.52,19.79,18.78,0.05378061767838105,,,,,,,,,,,,,100.0,66.66666666666666,55.55555555555556,88.88888888888886
002747.SZ,20250115,19.61,19.83,19.33,19.47,48836280.0,954032388.55,1.0,,,False,19.79,19.61,19.83,19.33,19.47,19.79,-0.016169782718544745,,,,,,,,,,,,,89.83050847457629,74.3879472693032,61.83301946013811,99.49780288763337
002747.SZ,20250116,19.7,20.04,19.28,19.47,38930018.0,763571055.88,1.0,,,False,19.47,19.7,20.04,19.28,19.47,19.47,0.0,,,,,,,,,,,,,84.8,77.85863151286881,67.17489014438169,99.22611424984305
002747.SZ,20250117,19.32,20.15,19.25,19.58,45142435.0,893216906.36,1.0,,,False,19.47,19.32,20.15,19.25,19.58,19.47,0.005649717514124353,,18.646491576027817,,,,,,,,,,,85.23316062176164,80.31680788249976,71.55552939042104,97.8393648666572
002747.SZ,20250120,19.93,20.15,19.38,19.4,35488937.0,697710463.84,1.0,,,False,19.58,19.93,20.15,19.38,19.4,19.58,-0.009193054136874323,,18.762415948946614,,,,,,,,,,,80.56994818652849,80.40118798384268,74.50408225489493,92.19539944173818
002747.SZ,20250121,19.68,20.08,19.5,19.93,47767799.0,947121737.02,1.0,,,False,19.4,19.68,20.08,19.5,19.93,19.4,0.027319587628866104,,18.94204426449329,,,,,,,,,,,92.6666666666667,84.48968087811735,77.83261512930241,97.80381237574724
002747.SZ,20250122,19.67,19.87,19.41,19.53,30386917.0,595045688.62,1.0,,,False,19.93,19.67,19.87,19.41,19.53,19.93,-0.02007024586051176,22.943879800275226,19.032498993032785,,,,,,,,,,,79.33333333333341,82.77089836318939,79.47870954059808,89.35527600837202
002747.SZ,20250123,19.8,20.38,19.5,19.73,51765482.0,1032827098.22,1.0,,,False,19.53,19.8,20.38,19.5,19.73,19.53,0.01024065540194563,24.485776644058348,19.13980684025851,,,,,,,,,,,79.87616099071212,81.80598590569697,80.25446832896438,84.90902105916217
002747.SZ,20250124,19.52,20.41,19.4,20.17,47707380.0,952858591.4,1.0,,,False,19.73,19.52,20.41,19.4,20.17,19.73,0.022301064368981383,27.903746606196194,19.298298095603357,,,,,,,,,,,87.30158730158739,83.63785303766045,81.38226323186308,88.14903264925519
002747.SZ,20250127,19.09,19.33,18.15,18.15,62139463.0,1152990526.94,1.0,,,False,20.17,19.09,19.33,18.15,18.15,20.17,-0.10014873574615779,22.801261619156378,19.121636850125917,,,,,,,,,,,0.0,55.75856869177364,72.84103171849993,21.593642638321057
002747.SZ,20250205,18.5,19.35,18.4,19.1,61858964.0,1167352241.48,1.0,,,False,18.15,18.5,19.35,18.4,19.1,18.15,0.052341597796143446,29.344904960325323,19.1183081039527,,,,,,,,,,,42.03539823008859,51.18417853787862,65.62208065829283,22.30837429705022
002747.SZ,20250206,19.01,20.44,18.91,20.29,61772115.0,1238834498.9,1.0,,,False,19.1,19.01,20.44,18.91,20.29,19.1,0.062303664921465884,36.59495901223765,19.298568395652286,,,,,18.729499999999998,1.1664453480553645,21.062390696110725,16.39660930388927,0.83445630406122,0.24911403893437917,93.44978165938856,65.27271291171527,65.50562474276698,64.80688924961186
002747.SZ,20250207,20.29,20.79,20.09,20.57,73554761.0,1506639780.38,1.0,,,False,20.29,20.29,20.79,20.09,20.57,20.29,0.013799901429275563,38.201787151675184,19.494173257859625,,,,,18.8525,1.2229671908927078,21.298434381785416,16.406565618214582,0.8510928201488192,0.2594811703259957,91.66666666666671,74.0706974966991,68.36064899407769,85.4907945019419
002747.SZ,20250210,20.73,21.04,20.28,20.45,48976891.0,1005073709.94,1.0,,,False,20.57,20.73,21.04,20.28,20.45,20.57,-0.005833738454059323,37.7601282382457,19.64122352588122,,,,,19.0375,1.169614787013229,21.37672957402646,16.698270425973543,0.801915642586695,0.24574965977953594,79.58477508650519,75.9087233599678,70.87667378270773,85.97282251448794
002747.SZ,20250211,20.47,20.72,20.18,20.52,48906381.0,1001652302.35,1.0,,,False,20.45,20.47,20.72,20.18,20.52,20.45,0.0034229828850855792,38.20890533589822,19.776419906514878,,,,,19.232499999999998,1.0712836925856757,21.37506738517135,17.089932614828648,0.8004572945781666,0.2228069554318316,82.00692041522494,77.94145571172018,73.23160109237855,87.36116495040343
002747.SZ,20250212,20.32,21.04,20.09,20.83,61786157.0,1280062767.95,1.0,,,False,20.52,20.32,21.04,20.09,20.83,20.52,0.015107212475633514,40.26315221316699,19.938509151666434,,,,,19.4225,0.9982979264728544,21.41909585294571,17.42590414705429,0.8524749382613965,0.20559617484316745,92.7335640138408,82.87215847909373,76.44512022128362,95.72623499471393
002747.SZ,20250213,20.88,20.93,19.92,19.94,52275500.0,1061113372.08,1.0,,,False,20.83,20.88,20.93,19.92,19.94,20.83,-0.042726836293806914,36.51034950802764,19.93873851294852,,,,,19.548,0.8920403578314159,21.33208071566283,17.763919284337167,0.6098605003009533,0.18253332470460729,61.93771626297586,75.89401107372112,76.26141717209612,75.15919887697112
002747.SZ,20250214,19.88,21.21,19.72,20.15,52943554.0,1082378314.97,1.0,,,False,19.94,19.88,21.21,19.72,20.15,19.94,0.010531594784352949,37.97927170419466,19.97124028018721,19.433329884147522,0.5379103960396883,,,19.6725,0.787482539488972,21.247465078977942,18.097534921022056,0.6515906626672218,0.1601184474752007,65.35947712418296,72.3824997572084,74.96844470046688,67.21060987069143
